report,label,authority
تم الإبلاغ عن تهديد أمني في حي الجامعة,تهديد أمني,أمن الدولة
اشتباه بحدوث تهديد أمني في حي النخيل,تهديد أمني,أمن الدولة
وجود غذاء فاسد وتم طلب التدخل في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن مشاجرة في حي الصحافة بالقرب من المنطقة السكنية,مشاجرة,الشرطة
اشتباه بحدوث تهريب في حي الصحافة,تهريب,الجمارك
مواطن يبلغ عن بلاغ إرهابي في حي النرجس,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن حادثة بحرية الآن في حي الرياض,حادثة بحرية,حرس الحدود
تم الإبلاغ عن مواد منتهية في حي الصحافة,مواد منتهية,وزارة التجارة
بلاغ عاجل عن حريق الآن في حي النرجس,حريق,الدفاع المدني
بلاغ وارد يتضمن دهس في حي الفلاح,دهس,المرور
بلاغ وارد يتضمن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
شوهد مواد منتهية عند المجمع التجاري في حي النخيل,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن تلوث مياه في حي الجامعة,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن حادثة بحرية في حي الفلاح,حادثة بحرية,حرس الحدود
وجود مخالفات تجارية وتم طلب التدخل في حي النرجس,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن سطو مسلح في حي الورد,سطو مسلح,الشرطة
بلاغ عن غذاء فاسد في حي الرياض بالقرب من المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث تلوث مياه في حي الصحافة,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي النخيل,تلوث مياه,وزارة البيئة
بلاغ عن حادث مروري في حي الجامعة بالقرب من المدرسة,حادث مروري,المرور
وجود تهريب وتم طلب التدخل في حي الياسمين,تهريب,الجمارك
شوهد غذاء فاسد عند المركز التجاري في حي النخيل,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
تم الإبلاغ عن حيوان ضال في حي الخليج,حيوان ضال,البلدية
بلاغ وارد يتضمن دهس في حي الخليج,دهس,المرور
اشتباه بحدوث غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن حادثة بحرية في حي الفلاح,حادثة بحرية,حرس الحدود
بلاغ عن مخالفات تجارية في حي الياسمين بالقرب من الحديقة,مخالفات تجارية,وزارة التجارة
شوهد حيوان ضال عند الطريق السريع في حي الخليج,حيوان ضال,البلدية
اشتباه بحدوث تلوث مياه في حي السلام,تلوث مياه,وزارة البيئة
تم الإبلاغ عن بلاغ سلاح في حي الجامعة,بلاغ سلاح,الشرطة
تم الإبلاغ عن تسرب غاز في حي الرياض,تسرب غاز,الدفاع المدني
تمت ملاحظة حالة تهريب ويجب التحرك في حي النخيل,تهريب,الجمارك
مواطن يبلغ عن بلاغ إرهابي في حي الخليج,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة تهريب ويجب التحرك في حي النخيل,تهريب,الجمارك
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الخليج,حيوان ضال,البلدية
تم الإبلاغ عن اقتحام منزل في حي النخيل,اقتحام منزل,الشرطة
بلاغ عاجل عن مواد منتهية الآن في حي الجامعة,مواد منتهية,وزارة التجارة
وجود فقدان طفل وتم طلب التدخل في حي الصحافة,فقدان طفل,الشرطة
بلاغ عن تهديد أمني في حي الياسمين بالقرب من الطريق السريع,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن مواد منتهية في حي الرياض,مواد منتهية,وزارة التجارة
وجود غرق وتم طلب التدخل في حي النرجس,غرق,حرس الحدود
تمت ملاحظة حالة تسرب غاز ويجب التحرك في حي الرياض,تسرب غاز,الدفاع المدني
تم رصد تلوث مياه في منطقة المركز التجاري,تلوث مياه,وزارة البيئة
شوهد غرق عند السوق في حي الصحافة,غرق,حرس الحدود
شوهد تلوث مياه عند المنطقة السكنية في حي النرجس,تلوث مياه,وزارة البيئة
شوهد غذاء فاسد عند المنطقة السكنية في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن غرق في حي النخيل,غرق,حرس الحدود
شوهد غذاء فاسد عند الطريق السريع في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تلوث مياه في حي النخيل بالقرب من الطريق السريع,تلوث مياه,وزارة البيئة
تم الإبلاغ عن مواد منتهية في حي الورد,مواد منتهية,وزارة التجارة
تم الإبلاغ عن تلوث مياه في حي الفلاح,تلوث مياه,وزارة البيئة
اشتباه بحدوث مشاجرة في حي الورد,مشاجرة,الشرطة
وجود غذاء فاسد وتم طلب التدخل في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
شوهد مشاجرة عند المدرسة في حي الصحافة,مشاجرة,الشرطة
مواطن يبلغ عن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
اشتباه بحدوث إزعاج سكني في حي الياسمين,إزعاج سكني,الشرطة
وجود تلوث مياه وتم طلب التدخل في حي الياسمين,تلوث مياه,وزارة البيئة
بلاغ عاجل عن غذاء فاسد الآن في حي الرياض,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث مواد منتهية في حي النرجس,مواد منتهية,وزارة التجارة
شوهد حيوان ضال عند المركز التجاري في حي النخيل,حيوان ضال,البلدية
بلاغ عن تهديد أمني في حي النرجس بالقرب من الحديقة,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن سرقة في حي النرجس,سرقة,الشرطة
مواطن يبلغ عن ازدحام مروري في حي الخليج,ازدحام مروري,المرور
تمت ملاحظة حالة تهديد أمني ويجب التحرك في حي الصحافة,تهديد أمني,أمن الدولة
اشتباه بحدوث حريق في حي الصحافة,حريق,الدفاع المدني
تم رصد مواد منتهية في منطقة الحديقة,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن حيوان ضال في حي الفلاح,حيوان ضال,البلدية
مواطن يبلغ عن تهريب في حي الجامعة,تهريب,الجمارك
مواطن يبلغ عن بلاغ إرهابي في حي الياسمين,بلاغ إرهابي,أمن الدولة
بلاغ عن مخالفات تجارية في حي الورد بالقرب من السوق,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن ازدحام مروري الآن في حي الجامعة,ازدحام مروري,المرور
مواطن يبلغ عن مخالفات تجارية في حي الخليج,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث تهريب في حي الفلاح,تهريب,الجمارك
تمت ملاحظة حالة تهريب ويجب التحرك في حي السلام,تهريب,الجمارك
مواطن يبلغ عن تعطل طريق سريع في حي النرجس,تعطل طريق سريع,المرور
بلاغ عاجل عن انقلاب مركبة الآن في حي النخيل,انقلاب مركبة,المرور
بلاغ عاجل عن تهديد أمني الآن في حي الورد,تهديد أمني,أمن الدولة
بلاغ عن سطو مسلح في حي النخيل بالقرب من المستشفى,سطو مسلح,الشرطة
مواطن يبلغ عن سرقة في حي الورد,سرقة,الشرطة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الورد,تهريب,الجمارك
شوهد تهريب عند المنطقة السكنية في حي الرياض,تهريب,الجمارك
تم الإبلاغ عن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن تهريب في حي الياسمين,تهريب,الجمارك
بلاغ عن تهريب في حي السلام بالقرب من المسجد,تهريب,الجمارك
بلاغ عن تسرب غاز في حي الفلاح بالقرب من المركز التجاري,تسرب غاز,الدفاع المدني
بلاغ وارد يتضمن تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
وجود انفجار وتم طلب التدخل في حي النخيل,انفجار,الدفاع المدني
مواطن يبلغ عن تهريب في حي الرياض,تهريب,الجمارك
وجود تهريب وتم طلب التدخل في حي الجامعة,تهريب,الجمارك
بلاغ وارد يتضمن حريق في حي الصحافة,حريق,الدفاع المدني
تم رصد حادثة بحرية في منطقة المستشفى,حادثة بحرية,حرس الحدود
تمت ملاحظة حالة انقلاب مركبة ويجب التحرك في حي النرجس,انقلاب مركبة,المرور
تم الإبلاغ عن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
تم رصد تلوث مياه في منطقة المسجد,تلوث مياه,وزارة البيئة
تم رصد تهريب في منطقة المنطقة السكنية,تهريب,الجمارك
بلاغ عاجل عن بلاغ إرهابي الآن في حي الخليج,بلاغ إرهابي,أمن الدولة
تم رصد تهديد أمني في منطقة الطريق السريع,تهديد أمني,أمن الدولة
تم الإبلاغ عن تهريب في حي الصحافة,تهريب,الجمارك
تمت ملاحظة حالة حادثة بحرية ويجب التحرك في حي الجامعة,حادثة بحرية,حرس الحدود
وجود غرق وتم طلب التدخل في حي الصحافة,غرق,حرس الحدود
بلاغ عاجل عن مواد منتهية الآن في حي النخيل,مواد منتهية,وزارة التجارة
بلاغ عاجل عن مخالفات تجارية الآن في حي الفلاح,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن تهريب الآن في حي الصحافة,تهريب,الجمارك
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن مواد منتهية في حي الفلاح,مواد منتهية,وزارة التجارة
بلاغ عن مشاجرة في حي الرياض بالقرب من الحديقة,مشاجرة,الشرطة
مواطن يبلغ عن تهريب في حي الورد,تهريب,الجمارك
بلاغ عاجل عن مخالفات تجارية الآن في حي النخيل,مخالفات تجارية,وزارة التجارة
بلاغ عن مواد منتهية في حي الرياض بالقرب من المستشفى,مواد منتهية,وزارة التجارة
تم رصد انقلاب مركبة في منطقة المسجد,انقلاب مركبة,المرور
تم الإبلاغ عن حيوان ضال في حي السلام,حيوان ضال,البلدية
وجود تلوث مياه وتم طلب التدخل في حي النرجس,تلوث مياه,وزارة البيئة
مواطن يبلغ عن انفجار في حي الخليج,انفجار,الدفاع المدني
بلاغ عن حريق في حي السلام بالقرب من السوق,حريق,الدفاع المدني
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة تهريب ويجب التحرك في حي الخليج,تهريب,الجمارك
اشتباه بحدوث بلاغ إرهابي في حي الخليج,بلاغ إرهابي,أمن الدولة
مواطن يبلغ عن غرق في حي النرجس,غرق,حرس الحدود
شوهد تهديد أمني عند المجمع التجاري في حي الورد,تهديد أمني,أمن الدولة
تم الإبلاغ عن مخالفات تجارية في حي الياسمين,مخالفات تجارية,وزارة التجارة
تم رصد غذاء فاسد في منطقة المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تهريب في حي الجامعة بالقرب من المدرسة,تهريب,الجمارك
تم رصد مخالفات تجارية في منطقة المسجد,مخالفات تجارية,وزارة التجارة
بلاغ عاجل عن تلوث مياه الآن في حي السلام,تلوث مياه,وزارة البيئة
مواطن يبلغ عن تهريب في حي الورد,تهريب,الجمارك
بلاغ وارد يتضمن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
شوهد غذاء فاسد عند المنطقة الصناعية في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
اشتباه بحدوث تهريب في حي النخيل,تهريب,الجمارك
مواطن يبلغ عن حيوان ضال في حي الجامعة,حيوان ضال,البلدية
مواطن يبلغ عن مواد منتهية في حي السلام,مواد منتهية,وزارة التجارة
اشتباه بحدوث تهريب في حي الصحافة,تهريب,الجمارك
تم الإبلاغ عن مخالفات تجارية في حي الياسمين,مخالفات تجارية,وزارة التجارة
اشتباه بحدوث غرق في حي الفلاح,غرق,حرس الحدود
مواطن يبلغ عن تلوث مياه في حي الخليج,تلوث مياه,وزارة البيئة
اشتباه بحدوث غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
وجود تهديد أمني وتم طلب التدخل في حي الياسمين,تهديد أمني,أمن الدولة
وجود حادثة بحرية وتم طلب التدخل في حي الخليج,حادثة بحرية,حرس الحدود
بلاغ وارد يتضمن حادث مروري في حي الصحافة,حادث مروري,المرور
بلاغ عن غذاء فاسد في حي الرياض بالقرب من المسجد,غذاء فاسد,هيئة الغذاء والدواء
وجود دهس وتم طلب التدخل في حي السلام,دهس,المرور
مواطن يبلغ عن غرق في حي الياسمين,غرق,حرس الحدود
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي النرجس,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن ماس كهربائي في حي النرجس,ماس كهربائي,الدفاع المدني
تم رصد مشاجرة في منطقة الحديقة,مشاجرة,الشرطة
اشتباه بحدوث تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ عاجل عن سطو مسلح الآن في حي النرجس,سطو مسلح,الشرطة
تمت ملاحظة حالة سطو مسلح ويجب التحرك في حي الورد,سطو مسلح,الشرطة
اشتباه بحدوث بلاغ إرهابي في حي السلام,بلاغ إرهابي,أمن الدولة
بلاغ وارد يتضمن حيوان ضال في حي الورد,حيوان ضال,البلدية
بلاغ وارد يتضمن غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عن تهريب في حي النرجس بالقرب من المنطقة الصناعية,تهريب,الجمارك
تم رصد اقتحام منزل في منطقة المسجد,اقتحام منزل,الشرطة
اشتباه بحدوث حيوان ضال في حي الصحافة,حيوان ضال,البلدية
تم الإبلاغ عن تلوث مياه في حي الياسمين,تلوث مياه,وزارة البيئة
مواطن يبلغ عن بلاغ إرهابي في حي الرياض,بلاغ إرهابي,أمن الدولة
شوهد حيوان ضال عند المجمع التجاري في حي الياسمين,حيوان ضال,البلدية
شوهد مواد منتهية عند المدرسة في حي الياسمين,مواد منتهية,وزارة التجارة
مواطن يبلغ عن مواد منتهية في حي الخليج,مواد منتهية,وزارة التجارة
وجود سرقة وتم طلب التدخل في حي النرجس,سرقة,الشرطة
مواطن يبلغ عن غذاء فاسد في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
وجود تهريب وتم طلب التدخل في حي السلام,تهريب,الجمارك
تم رصد حادثة بحرية في منطقة الحديقة,حادثة بحرية,حرس الحدود
تم رصد مخالفات تجارية في منطقة المستشفى,مخالفات تجارية,وزارة التجارة
شوهد تلوث مياه عند المدرسة في حي الرياض,تلوث مياه,وزارة البيئة
اشتباه بحدوث انقلاب مركبة في حي النخيل,انقلاب مركبة,المرور
مواطن يبلغ عن غرق في حي الورد,غرق,حرس الحدود
بلاغ عن غذاء فاسد في حي الياسمين بالقرب من المنطقة السكنية,غذاء فاسد,هيئة الغذاء والدواء
شوهد مخالفات تجارية عند المنطقة الصناعية في حي الرياض,مخالفات تجارية,وزارة التجارة
مواطن يبلغ عن غرق في حي الخليج,غرق,حرس الحدود
وجود غرق وتم طلب التدخل في حي النرجس,غرق,حرس الحدود
بلاغ عن تهريب في حي النخيل بالقرب من الطريق السريع,تهريب,الجمارك
اشتباه بحدوث حادثة بحرية في حي الفلاح,حادثة بحرية,حرس الحدود
تم الإبلاغ عن تسرب غاز في حي الورد,تسرب غاز,الدفاع المدني
اشتباه بحدوث تعطل طريق سريع في حي الورد,تعطل طريق سريع,المرور
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الجامعة,تلوث مياه,وزارة البيئة
شوهد انقلاب مركبة عند المدرسة في حي الرياض,انقلاب مركبة,المرور
مواطن يبلغ عن انقلاب مركبة في حي الياسمين,انقلاب مركبة,المرور
اشتباه بحدوث مشاجرة في حي الفلاح,مشاجرة,الشرطة
تم الإبلاغ عن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي الجامعة,حيوان ضال,البلدية
بلاغ وارد يتضمن دهس في حي الخليج,دهس,المرور
تم رصد دهس في منطقة المستشفى,دهس,المرور
تمت ملاحظة حالة ماس كهربائي ويجب التحرك في حي السلام,ماس كهربائي,الدفاع المدني
شوهد فقدان طفل عند المدرسة في حي النرجس,فقدان طفل,الشرطة
بلاغ وارد يتضمن سطو مسلح في حي الفلاح,سطو مسلح,الشرطة
تم الإبلاغ عن تهريب في حي الرياض,تهريب,الجمارك
بلاغ عاجل عن حيوان ضال الآن في حي السلام,حيوان ضال,البلدية
بلاغ عن حيوان ضال في حي النرجس بالقرب من المنطقة الصناعية,حيوان ضال,البلدية
تم الإبلاغ عن غرق في حي الجامعة,غرق,حرس الحدود
تمت ملاحظة حالة بلاغ سلاح ويجب التحرك في حي الرياض,بلاغ سلاح,الشرطة
شوهد تهريب عند المنطقة الصناعية في حي الرياض,تهريب,الجمارك
تم رصد مواد منتهية في منطقة المجمع التجاري,مواد منتهية,وزارة التجارة
بلاغ عن تهديد أمني في حي الفلاح بالقرب من المدرسة,تهديد أمني,أمن الدولة
تمت ملاحظة حالة انقلاب مركبة ويجب التحرك في حي الورد,انقلاب مركبة,المرور
بلاغ وارد يتضمن حادث مروري في حي الياسمين,حادث مروري,المرور
تم رصد تهريب في منطقة المستشفى,تهريب,الجمارك
بلاغ عاجل عن تهريب الآن في حي الفلاح,تهريب,الجمارك
بلاغ وارد يتضمن تهديد أمني في حي السلام,تهديد أمني,أمن الدولة
اشتباه بحدوث غذاء فاسد في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
شوهد تهريب عند المدرسة في حي الصحافة,تهريب,الجمارك
اشتباه بحدوث مواد منتهية في حي الورد,مواد منتهية,وزارة التجارة
تم الإبلاغ عن تلوث مياه في حي الرياض,تلوث مياه,وزارة البيئة
بلاغ عاجل عن تهريب الآن في حي الجامعة,تهريب,الجمارك
بلاغ عاجل عن تهريب الآن في حي النرجس,تهريب,الجمارك
وجود حادثة بحرية وتم طلب التدخل في حي النرجس,حادثة بحرية,حرس الحدود
بلاغ عاجل عن غذاء فاسد الآن في حي الورد,غذاء فاسد,هيئة الغذاء والدواء
وجود سطو مسلح وتم طلب التدخل في حي الخليج,سطو مسلح,الشرطة
تم الإبلاغ عن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
بلاغ عاجل عن غذاء فاسد الآن في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تم رصد تهريب في منطقة الحديقة,تهريب,الجمارك
وجود تهديد أمني وتم طلب التدخل في حي الفلاح,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن غرق في حي الورد,غرق,حرس الحدود
تم رصد تهديد أمني في منطقة المنطقة السكنية,تهديد أمني,أمن الدولة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الورد,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة تلوث مياه ويجب التحرك في حي الخليج,تلوث مياه,وزارة البيئة
بلاغ عن إزعاج سكني في حي الرياض بالقرب من الطريق السريع,إزعاج سكني,الشرطة
وجود تهريب وتم طلب التدخل في حي السلام,تهريب,الجمارك
تم الإبلاغ عن مخالفات تجارية في حي السلام,مخالفات تجارية,وزارة التجارة
وجود حيوان ضال وتم طلب التدخل في حي الرياض,حيوان ضال,البلدية
تم رصد حادثة بحرية في منطقة المنطقة السكنية,حادثة بحرية,حرس الحدود
تم رصد غرق في منطقة المستشفى,غرق,حرس الحدود
اشتباه بحدوث تهديد أمني في حي الصحافة,تهديد أمني,أمن الدولة
بلاغ وارد يتضمن تهريب في حي السلام,تهريب,الجمارك
شوهد تلوث مياه عند المستشفى في حي الرياض,تلوث مياه,وزارة البيئة
اشتباه بحدوث حريق في حي الفلاح,حريق,الدفاع المدني
بلاغ وارد يتضمن إزعاج سكني في حي الرياض,إزعاج سكني,الشرطة
بلاغ عن تعطل طريق سريع في حي النخيل بالقرب من الطريق السريع,تعطل طريق سريع,المرور
تم رصد تلوث مياه في منطقة السوق,تلوث مياه,وزارة البيئة
اشتباه بحدوث غذاء فاسد في حي الخليج,غذاء فاسد,هيئة الغذاء والدواء
بلاغ عاجل عن تلوث مياه الآن في حي الصحافة,تلوث مياه,وزارة البيئة
اشتباه بحدوث غرق في حي النرجس,غرق,حرس الحدود
تمت ملاحظة حالة تهريب ويجب التحرك في حي النخيل,تهريب,الجمارك
بلاغ وارد يتضمن فقدان طفل في حي الصحافة,فقدان طفل,الشرطة
بلاغ وارد يتضمن بلاغ إرهابي في حي السلام,بلاغ إرهابي,أمن الدولة
اشتباه بحدوث مواد منتهية في حي الصحافة,مواد منتهية,وزارة التجارة
اشتباه بحدوث ازدحام مروري في حي الخليج,ازدحام مروري,المرور
بلاغ عن تلوث مياه في حي النخيل بالقرب من المركز التجاري,تلوث مياه,وزارة البيئة
شوهد فقدان طفل عند الحديقة في حي الخليج,فقدان طفل,الشرطة
تم رصد مخالفات تجارية في منطقة الطريق السريع,مخالفات تجارية,وزارة التجارة
تم رصد مواد منتهية في منطقة الطريق السريع,مواد منتهية,وزارة التجارة
تم الإبلاغ عن اقتحام منزل في حي السلام,اقتحام منزل,الشرطة
تم الإبلاغ عن انقلاب مركبة في حي السلام,انقلاب مركبة,المرور
شوهد فقدان طفل عند المنطقة السكنية في حي النخيل,فقدان طفل,الشرطة
تم رصد حيوان ضال في منطقة الحديقة,حيوان ضال,البلدية
مواطن يبلغ عن حادثة بحرية في حي الفلاح,حادثة بحرية,حرس الحدود
تم الإبلاغ عن مخالفات تجارية في حي الرياض,مخالفات تجارية,وزارة التجارة
بلاغ عن انفجار في حي السلام بالقرب من المجمع التجاري,انفجار,الدفاع المدني
بلاغ عاجل عن تهريب الآن في حي النرجس,تهريب,الجمارك
مواطن يبلغ عن حيوان ضال في حي الفلاح,حيوان ضال,البلدية
مواطن يبلغ عن مشاجرة في حي النرجس,مشاجرة,الشرطة
بلاغ وارد يتضمن تلوث مياه في حي الخليج,تلوث مياه,وزارة البيئة
تم رصد ماس كهربائي في منطقة المدرسة,ماس كهربائي,الدفاع المدني
شوهد حريق عند المنطقة السكنية في حي الخليج,حريق,الدفاع المدني
اشتباه بحدوث فقدان طفل في حي الرياض,فقدان طفل,الشرطة
وجود انقلاب مركبة وتم طلب التدخل في حي الصحافة,انقلاب مركبة,المرور
بلاغ عاجل عن حريق الآن في حي الخليج,حريق,الدفاع المدني
وجود حادثة بحرية وتم طلب التدخل في حي الجامعة,حادثة بحرية,حرس الحدود
تم رصد تهديد أمني في منطقة المستشفى,تهديد أمني,أمن الدولة
مواطن يبلغ عن تهديد أمني في حي الورد,تهديد أمني,أمن الدولة
تم رصد حيوان ضال في منطقة المستشفى,حيوان ضال,البلدية
بلاغ عن حادثة بحرية في حي السلام بالقرب من المسجد,حادثة بحرية,حرس الحدود
تمت ملاحظة حالة غرق ويجب التحرك في حي الورد,غرق,حرس الحدود
تم رصد تلوث مياه في منطقة المجمع التجاري,تلوث مياه,وزارة البيئة
شوهد حريق عند المسجد في حي الرياض,حريق,الدفاع المدني
شوهد تهريب عند المستشفى في حي الرياض,تهريب,الجمارك
بلاغ عن دهس في حي الصحافة بالقرب من المركز التجاري,دهس,المرور
بلاغ عاجل عن غرق الآن في حي الفلاح,غرق,حرس الحدود
بلاغ عاجل عن تهريب الآن في حي الصحافة,تهريب,الجمارك
تم الإبلاغ عن إزعاج سكني في حي النخيل,إزعاج سكني,الشرطة
بلاغ وارد يتضمن تهريب في حي الياسمين,تهريب,الجمارك
بلاغ عن حادثة بحرية في حي الصحافة بالقرب من المسجد,حادثة بحرية,حرس الحدود
تم رصد حيوان ضال في منطقة الحديقة,حيوان ضال,البلدية
وجود تهريب وتم طلب التدخل في حي النرجس,تهريب,الجمارك
شوهد بلاغ سلاح عند الطريق السريع في حي الرياض,بلاغ سلاح,الشرطة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي الخليج,حيوان ضال,البلدية
تمت ملاحظة حالة تهديد أمني ويجب التحرك في حي الخليج,تهديد أمني,أمن الدولة
شوهد حادثة بحرية عند السوق في حي الفلاح,حادثة بحرية,حرس الحدود
وجود بلاغ إرهابي وتم طلب التدخل في حي الصحافة,بلاغ إرهابي,أمن الدولة
بلاغ عاجل عن اقتحام منزل الآن في حي الفلاح,اقتحام منزل,الشرطة
شوهد تلوث مياه عند الطريق السريع في حي الفلاح,تلوث مياه,وزارة البيئة
شوهد دهس عند السوق في حي الفلاح,دهس,المرور
شوهد غذاء فاسد عند المنطقة الصناعية في حي الفلاح,غذاء فاسد,هيئة الغذاء والدواء
تمت ملاحظة حالة اقتحام منزل ويجب التحرك في حي الورد,اقتحام منزل,الشرطة
شوهد تلوث مياه عند المدرسة في حي الصحافة,تلوث مياه,وزارة البيئة
تمت ملاحظة حالة تهريب ويجب التحرك في حي الجامعة,تهريب,الجمارك
بلاغ عن مخالفات تجارية في حي الجامعة بالقرب من المدرسة,مخالفات تجارية,وزارة التجارة
وجود ازدحام مروري وتم طلب التدخل في حي النخيل,ازدحام مروري,المرور
مواطن يبلغ عن حيوان ضال في حي الرياض,حيوان ضال,البلدية
بلاغ عاجل عن تلوث مياه الآن في حي الياسمين,تلوث مياه,وزارة البيئة
وجود تهريب وتم طلب التدخل في حي الرياض,تهريب,الجمارك
بلاغ عن مخالفات تجارية في حي الرياض بالقرب من المنطقة الصناعية,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن مخالفات تجارية في حي الفلاح,مخالفات تجارية,وزارة التجارة
تمت ملاحظة حالة حيوان ضال ويجب التحرك في حي النخيل,حيوان ضال,البلدية
مواطن يبلغ عن تلوث مياه في حي النخيل,تلوث مياه,وزارة البيئة
بلاغ عن ازدحام مروري في حي الفلاح بالقرب من الحديقة,ازدحام مروري,المرور
تمت ملاحظة حالة مخالفات تجارية ويجب التحرك في حي الخليج,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن غذاء فاسد في حي الصحافة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن حيوان ضال في حي الورد,حيوان ضال,البلدية
بلاغ وارد يتضمن غذاء فاسد في حي السلام,غذاء فاسد,هيئة الغذاء والدواء
تم رصد حادثة بحرية في منطقة المدرسة,حادثة بحرية,حرس الحدود
بلاغ عاجل عن غذاء فاسد الآن في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن حادث مروري في حي الفلاح,حادث مروري,المرور
مواطن يبلغ عن غرق في حي الفلاح,غرق,حرس الحدود
تم الإبلاغ عن تلوث مياه في حي النرجس,تلوث مياه,وزارة البيئة
بلاغ وارد يتضمن مواد منتهية في حي الفلاح,مواد منتهية,وزارة التجارة
بلاغ وارد يتضمن دهس في حي الخليج,دهس,المرور
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
بلاغ وارد يتضمن دهس في حي الياسمين,دهس,المرور
وجود تهديد أمني وتم طلب التدخل في حي السلام,تهديد أمني,أمن الدولة
تمت ملاحظة حالة دهس ويجب التحرك في حي النرجس,دهس,المرور
مواطن يبلغ عن انقلاب مركبة في حي الياسمين,انقلاب مركبة,المرور
تم الإبلاغ عن حيوان ضال في حي الياسمين,حيوان ضال,البلدية
تمت ملاحظة حالة غذاء فاسد ويجب التحرك في حي الياسمين,غذاء فاسد,هيئة الغذاء والدواء
مواطن يبلغ عن مخالفات تجارية في حي النخيل,مخالفات تجارية,وزارة التجارة
تم الإبلاغ عن بلاغ إرهابي في حي الصحافة,بلاغ إرهابي,أمن الدولة
تمت ملاحظة حالة دهس ويجب التحرك في حي النرجس,دهس,المرور
بلاغ عاجل عن غذاء فاسد الآن في حي الجامعة,غذاء فاسد,هيئة الغذاء والدواء
تم الإبلاغ عن تهديد أمني في حي الصحافة,تهديد أمني,أمن الدولة
تم الإبلاغ عن تلوث مياه في حي الورد,تلوث مياه,وزارة البيئة
بلاغ عن تلوث مياه في حي الخليج بالقرب من المستشفى,تلوث مياه,وزارة البيئة
